transactionHash,address,totalFee,lpFee,pcstFee,cakeFee,swapFrom,swapTo,swapAmountFrom,swapAmountTo,totalFeeFormatted,efxFeesFormatted,wbnbFeesFormatted
0xd96ed1f51df4041dfde318c1d1aa453cce35d5b2a91353614e17e0871788842f,0x10ED43C718714eb63d5aA57B78B54704E256024E,189799533098377.22,129063682506896.48,22775943971805.26,37959906619675.44,WBNB,EFX,75919813239350880,398298081907498128128,0.189799533098376822,,0.189799533098376822
0x48e3cfc119157caa2a3eb5fa02e3832e292331bf3fcc23628a403e097e9a750d,0x10ED43C718714eb63d5aA57B78B54704E256024E,11289891197341383000,7677126014192140000,1354786943680966000,2257978239468276500,EFX,WBNB,4515956478936553331083,854499650613797267,11.289891197341383,11.289891197341383,
0x33223c7d585d745a38a4bf04cba2c37e9af49152145726b55e79576dd4db62a6,0x10ED43C718714eb63d5aA57B78B54704E256024E,1250000000000000,850000000000000,150000000000000,250000000000000,WBNB,EFX,500000000000000000,2632072259093561949937,0.00125,,0.00125
0xd37e6fc3d8eddf9b1841b9e8c4093a58cbd66de124b9ab2774374584f2c55f4c,0x10ED43C718714eb63d5aA57B78B54704E256024E,250000000000000,170000000000000,29999999999999.996,50000000000000,WBNB,EFX,100000000000000000,525471456797263374502,0.00025,,0.00025
0x424c83f8b1f6497415bd4bd2999fa37c7e3d51c1bfa74d6e3078635393438efa,0x10ED43C718714eb63d5aA57B78B54704E256024E,234455938255306820000,159430038013608620000,28134712590636814000,46891187651061370000,EFX,WBNB,93782375302122730147700,16868480608372553877,234.45593825530682,234.45593825530682,
0xf5f43b65f4fe0c248d587b5bfe90080d7eb5366902a12f08293dc56a2f2ada89,0x10ED43C718714eb63d5aA57B78B54704E256024E,1657971629373442600,1127420707973940900,198956595524813100,331594325874688500,EFX,WBNB,663188651749377010740,113221948280293856,1.6579716293734426,1.6579716293734426,
0x9f8efa951c1382c0d8a804c363db5963c939947cb849273eafdb8c9fe5ffbe4b,0x10ED43C718714eb63d5aA57B78B54704E256024E,250000000000000,170000000000000,29999999999999.996,50000000000000,WBNB,EFX,100000000000000000,582842297647574549508,0.00025,,0.00025
0x8932ab1fcb811bdf9ae87d9acc73a88306f329fb87f7350641107d9682b78ba7,0x10ED43C718714eb63d5aA57B78B54704E256024E,214591504804495.28,145922223267056.78,25750980576539.43,42918300960899.055,WBNB,EFX,85836601921798109,500000000000000000000,0.214591504804494828,,0.214591504804494828
0xba3676a1072eb982cf8589b4677387e7b380c00fd8bdbb05c4aaea7b4d008f0d,0x10ED43C718714eb63d5aA57B78B54704E256024E,85869027691098.98,58390938829947.31,10304283322931.877,17173805538219.799,WBNB,EFX,34347611076439595,200000000000000000000,0.085869027691097898,,0.085869027691097898
0xf02b6e03037ce06aeeef2a94b0c85de34c3d72c0a139fbe1fe57c37c17d40a72,0x10ED43C718714eb63d5aA57B78B54704E256024E,50000000000000,34000000000000,5999999999999.999,10000000000000,WBNB,EFX,20000000000000000,116436544410809963166,0.00005,,0.00005
