transactionHash,address,totalFee,lpFee,pcstFee,cakeFee,swapFrom,swapTo,swapAmountFrom,swapAmountTo,totalFeeFormatted,lpFeeFormatted,efxFeesFormatted,wbnbFeesFormatted,inOutEfx,inOutWbnb,totalEfxOnlyFee,totalWbnbOnlyFee,onlyWbnb,onlyEfx
0xe3ff75f114a966f374fc9282884634aad0958cf07601408631b39e32530b8863,0x10ED43C718714eb63d5aA57B78B54704E256024E,2507340431725828,32882608882033327987055,300880851807099,501468086345165,WBNB,EFX,1002936172690331472,18000000000000000000000,0,0,0,2507340431725828,0,0,30600000000000000000,1704991493573563,1002936172690331472,18000000000000000000000
0xcf4595fb83d8723c36d6c3dd3cdf4d1af75c1ac1834fe7a95d2f850e47292f0a,0x10ED43C718714eb63d5aA57B78B54704E256024E,1404833097215741,32882685351942049606703,168579971665888,280966619443148,WBNB,EFX,561933238886296595,10000000000000000000000,0,0,0,1404833097215741,0,0,17000000000000000000,955286506106704,561933238886296595,10000000000000000000000
0x304b65db5efed4684350bc932c1d2ae765d71ecc061fe19d54d356d8801e5fff,0x10ED43C718714eb63d5aA57B78B54704E256024E,1295000000000000,513704149783976337775,155400000000000,259000000000000,WBNB,EFX,518000000000000000,9164608893385082171148,0,0,0,1295000000000000,0,0,15579835118754639690,880600000000000,518000000000000000,9164608893385082171148
0xdf730fdc358bb0c3a0d745bc7fe9d377954b5be75978994ad7f031b931ecba2b,0x10ED43C718714eb63d5aA57B78B54704E256024E,1600000000000000,513682994983976337775,192000000000000,320000000000000,WBNB,EFX,640000000000000000,11252767711237737336544,0,0,0,1600000000000000,0,0,19129705109104153472,1088000000000000,640000000000000000,11252767711237737336544
0x3ddb2b825b6be3a697938c54dfcd531037fd8dc475dc49fbb4ea935c511cabdc,0x10ED43C718714eb63d5aA57B78B54704E256024E,1718432692343364,513674780492435402020,206211923081203,343686538468672,WBNB,EFX,687373076937345761,12000000000000000000000,0,0,0,1718432692343364,0,0,20400000000000000000,1168534230793487,687373076937345761,12000000000000000000000
0xa1102410328eaad8873bc01294eceea4555402a0063f7241025d4d393c1dccd0,0x10ED43C718714eb63d5aA57B78B54704E256024E,250001186000000000000,16056494003541889889782,30000142320000000000,50000237200000000000,EFX,WBNB,100000474400000000000000,5550711589546153440,0,0,250001186000000000000,0,0,0,170000806480000000000,9436209702228460,5550711589546153440,100000474400000000000000
0x12bbb0fb4182f9dcba6c61530c8494bcdddb237768e449f0635d2a3631f86199,0x109654DF2BBaB81D3F1af3954e3D571a4e3a5fD7,1605393750005291,513682620873475970773,192647250000634,321078750001058,WBNB,EFX,642157500002116500,11822584874944200872941,0,0,0,1605393750005291,0,0,20098394287405141483,1091667750003598,642157500002116500,11822584874944200872941
0xeeacce968ff3bef470bf5030bc0619db2fb8145936ce4d1d2fb02bbad9034382,0x10ED43C718714eb63d5aA57B78B54704E256024E,4062500000000000,32882500526174033032622,487500000000000,812500000000000,WBNB,EFX,1625000000000000000,29548773041204712529057,0,0,0,4062500000000000,0,0,50232914170048011299,2762500000000000,1625000000000000000,29548773041204712529057
0xf405bb1d2adc2407aec15eeb826d2f1a5fee7d7d0209ca8a9908421db9b2c8f6,0x109654DF2BBaB81D3F1af3954e3D571a4e3a5fD7,29556462187360502182,2028239424122920711046631535,3546775462483260261,5911292437472100436,EFX,WBNB,11822584874944200872941,650385956521659405,0,0,29556462187360502182,0,0,0,20098394287405141483,1105656126086820,650385956521659405,11822584874944200872941
0x5bb9270afef7ddc8bc687b4a31bf9812ce8fc6fbfc4e32b12bd7f6036573f672,0x10ED43C718714eb63d5aA57B78B54704E256024E,1381447710541313,32882686973952469345061,165773725264957,276289542108262,WBNB,EFX,552579084216525210,10000000000000000000000,0,0,0,1381447710541313,0,0,17000000000000000000,939384443168092,552579084216525210,10000000000000000000000
0xe3618072efcb73fa4d09098589a46b832b74f4a61a50f2864bf8a49c19a051c9,0x10ED43C718714eb63d5aA57B78B54704E256024E,1808384994129525,513668541400783513906,217006199295543,361676998825905,WBNB,EFX,723353997651810085,13000000000000000000000,0,0,0,1808384994129525,0,0,22100000000000000000,1229701796008077,723353997651810085,13000000000000000000000
0x02cab2d28f55722cf14e25ceb58889df1355ef0d8db1c4ffdbcef0a49a5cd5bf,0x10ED43C718714eb63d5aA57B78B54704E256024E,1127343777339958,513715778419580038248,135281253280795,225468755467991,WBNB,EFX,450937510935983426,8052710000000000000000,0,0,0,1127343777339958,0,0,13689607000000000000,766593768591171,450937510935983426,8052710000000000000000
0xa493768694d6a724f12908eddf443b0d16e2d16a5659cd3b670262b7b9a22230,0x10ED43C718714eb63d5aA57B78B54704E256024E,1407648017944633,513696336517451697988,168917762153356,281529603588926,WBNB,EFX,563059207177853442,10000000000000000000000,0,0,0,1407648017944633,0,0,17000000000000000000,957200652202350,563059207177853442,10000000000000000000000
0x00bff7e3ecc1bb426db07d7b445a72c0066b712437578247d4bf4a68d7881805,0x10ED43C718714eb63d5aA57B78B54704E256024E,1565836242126680,513685364582222431194,187900349055201,313167248425336,WBNB,EFX,626334496850672319,11052710000000000000000,0,0,0,1565836242126680,0,0,18789607000000000000,1064768644646142,626334496850672319,11052710000000000000000
0xc09cdc79350acb54eec9ce0513f3e8fd5c0d69589daad2148a3588a74aa06fb0,0x10ED43C718714eb63d5aA57B78B54704E256024E,3871932600000000000,32614225546029672490532,464631912000000000,774386520000000000,EFX,WBNB,1548773040000000000000,87581424541687200,0,0,3871932600000000000,0,0,0,2632914168000000000,148888421720868,87581424541687200,1548773040000000000000
0x0d37ccdb6a26f02fa33bc3b2b465835bc070259daca1d01fb04ca0372aa63f4d,0x10ED43C718714eb63d5aA57B78B54704E256024E,2300000000000000,513634442983976337775,276000000000000,460000000000000,WBNB,EFX,920000000000000000,16115924385549241264659,0,0,0,2300000000000000,0,0,27397071455433710149,1564000000000000,920000000000000000,16115924385549241264659
0xedea2e5eaccaa6e30d8c050b87ce0063de6961eb2b92a385f39ed9d8c8078acb,0x10ED43C718714eb63d5aA57B78B54704E256024E,1863564156306118,513664714174094945382,223627698756734,372712831261223,WBNB,EFX,745425662522447479,12942000000000000000000,0,0,0,1863564156306118,0,0,22001400000000000000,1267223626288160,745425662522447479,12942000000000000000000
0x9d09ebff0fb6d365321fff14d81074b7762a47a7386e71abce9d070727a06e0b,0x10ED43C718714eb63d5aA57B78B54704E256024E,2500000000000000,513620570983976337775,300000000000000,500000000000000,WBNB,EFX,1000000000000000000,17201361099893777730941,0,0,0,2500000000000000,0,0,29242313869819422142,1700000000000000,1000000000000000000,17201361099893777730941
0x1405f6ce4dbe4c3f21c839dde7479cdc6566a2e270b589603a6e065aef79bd4e,0x10ED43C718714eb63d5aA57B78B54704E256024E,2957500000000000,32882577658965672490532,354900000000000,591500000000000,WBNB,EFX,1183000000000000000,20115337324402688838305,0,0,0,2957500000000000,0,0,34196073451484571025,2011100000000000,1183000000000000000,20115337324402688838305
0xf61dadca2c09f184174efb01f5ea2429d5102d00c890709894a2f2b69ee9a698,0x10ED43C718714eb63d5aA57B78B54704E256024E,32355000000000000000,2028239230016338026371062903,3882600000000000000,6471000000000000000,EFX,WBNB,12942000000000000000000,759032386989977996,0,0,32355000000000000000,0,0,0,22001400000000000000,1290355057882962,759032386989977996,12942000000000000000000
0x066e8fea9e381a5d08e95b5ca0c11d67acb53212726f24056ab064e46655ffd9,0x10ED43C718714eb63d5aA57B78B54704E256024E,50000000000000000000,2028238006159138026371062903,6000000000000000000,10000000000000000000,EFX,WBNB,20000000000000000000000,1161090273840230008,0,0,50000000000000000000,0,0,0,34000000000000000000,1973853465528391,1161090273840230008,20000000000000000000000
0xfbcdc811b179225c79d02345a98c509ca6f69b18ece628936d7e40cdaf81f707,0x10ED43C718714eb63d5aA57B78B54704E256024E,62500000000000000000,2028237139159138026371062903,7500000000000000000,12500000000000000000,EFX,WBNB,25000000000000000000000,1431424930614019925,0,0,62500000000000000000,0,0,0,42500000000000000000,2433422382043833,1431424930614019925,25000000000000000000000
